shipment_id,date,origin,destination,distance_km,product_category,vehicle_type,packaging_quality,avg_speed_kmph,transit_duration_hr,ambient_temp_c,humidity_pct,effective_transit_temp_c,safe_temp_min_c,safe_temp_max_c,temp_excursion_hours,base_shelf_life_hr,remaining_shelf_life_hr,spoilage_risk
1,2024-11-23,Indore,Bhopal,195,Bakery,Insulated Non-Refrigerated,Basic,44.4,12.05,18.0,64,18.3,10,20,0.0,48,31.4,Low
2,2024-02-27,Jaipur,Delhi,280,Pharma (Vaccines),Standard Truck,Basic,39.0,14.25,17.3,53,16.3,2,8,11.8,240,182.3,Low
3,2024-01-13,Ooty,Chennai,565,Milk & Dairy,Insulated Non-Refrigerated,Standard,38.3,22.52,23.9,75,17.7,2,8,21.77,48,0.0,High
4,2024-05-20,Vijayawada,Chennai,440,Tomatoes & Produce,Insulated Non-Refrigerated,Standard,43.2,14.87,29.1,85,23.6,10,15,12.73,168,141.2,Low
5,2024-05-05,Pune,Bengaluru,840,Leafy Greens,Insulated Non-Refrigerated,Standard,48.4,19.33,32.7,45,22.6,1,4,35.86,96,30.4,Medium
6,2024-04-24,Kolkata,Patna,585,Tomatoes & Produce,Refrigerated Truck,Basic,41.4,18.73,33.6,23,27.6,10,15,23.66,168,121.2,Low
7,2024-03-12,Indore,Bhopal,195,Poultry & Meat,Refrigerated Truck,Basic,48.3,6.23,25.4,38,18.4,0,4,8.95,72,42.7,Low
8,2024-02-22,Vijayawada,Chennai,440,Pharma (Vaccines),Standard Truck,Premium (Insulated + Gel Packs),40.1,15.45,27.5,86,25.7,2,8,27.3,240,104.4,Low
9,2024-12-12,Nashik,Mumbai,180,Frozen Goods,Refrigerated Truck,Standard,43.3,8.8,24.7,52,1.1,-20,-12,11.55,720,726.6,Low
10,2024-10-06,Ooty,Chennai,565,Milk & Dairy,Standard Truck,Basic,39.5,16.67,26.7,77,25.6,2,8,29.35,48,0.0,High
